nom,prenom,email,telephone,profession
Dupont,Jean,jean.dupont@email.com,0123456789,Développeur Web
Martin,Marie,marie.martin@email.com,0198765432,Designer UX/UI
Bernard,Pierre,pierre.bernard@email.com,0165432198,Chef de Projet
Durand,Sophie,sophie.durand@email.com,0187654321,Analyste Business
Moreau,Julien,julien.moreau@email.com,0143218765,Consultant IT
Leroy,Camille,camille.leroy@email.com,0156789012,Product Manager
Petit,Lucas,lucas.petit@email.com,0134567890,Data Scientist
Robert,Emma,emma.robert@email.com,0176543210,Marketing Manager
Rousseau,Thomas,thomas.rousseau@email.com,0145678901,Architecte Solution
Lefebvre,Léa,lea.lefebvre@email.com,0189012345,Scrum Master
